"Avg_mode_power","Star Rating Index"
114,"4.08539521829021"
114,"4.08539521829021"
148,"4.313737886945033"
165,"5.054540009525431"
165,"5.054540009525431"
198,"5.438925989689485"
198,"5.438925989689485"
27.2,"5.5997621327590545"
178,"5.801665774779875"
178,"5.801665774779875"
178,"5.801665774779875"
73,"4.029236682652612"
73,"4.029236682652612"
73,"4.029236682652612"
99.95,"5.8431668676196225"
99.95,"5.8431668676196225"
99.95,"5.8431668676196225"
94,"4.13392447306466"
94,"4.13392447306466"
94,"4.13392447306466"
94,"4.13392447306466"
113,"4.1175971780535745"
113,"4.1175971780535745"
113,"4.1175971780535745"
113,"4.1175971780535745"
150,"4.248194925327537"
150,"4.248194925327537"
150,"4.248194925327537"
173,"4.840800403841541"
173,"4.840800403841541"
173,"4.840800403841541"
223,"4.79754997459675"
223,"4.79754997459675"
223,"4.79754997459675"
73,"4.029236682652612"
306,"1.069303351009141"
306,"1.069303351009141"
306,"1.069303351009141"
24.2,"4.566598076666048"
112,"3.3515376495890017"
112,"3.3515376495890017"
112,"3.3515376495890017"
245,"3.2927795843660035"
245,"3.2927795843660035"
245,"3.2927795843660035"
145,"4.405453871887269"
95,"4.904594324171205"
95,"4.904594324171205"
152,"5.669203581321107"
152,"5.669203581321107"
109,"5.68346052076461"
109,"5.68346052076461"
126,"6.507230706659042"
339,"1.8416473664139523"
339,"1.8416473664139523"
339,"1.8416473664139523"
389,"2.310883880229027"
389,"2.310883880229027"
389,"2.310883880229027"
162,"2.5213419557826757"
162,"2.5213419557826757"
162,"2.5213419557826757"
304,"3.4120057605934937"
304,"3.4120057605934937"
304,"3.4120057605934937"
99,"2.6904934974743866"
99,"2.6904934974743866"
99,"2.6904934974743866"
96,"4.044164846323894"
96,"4.044164846323894"
96,"4.044164846323894"
140,"3.169606505914303"
140,"3.169606505914303"
140,"3.169606505914303"
136,"3.302333486054286"
136,"3.302333486054286"
136,"3.302333486054286"
158,"4.0183281239548"
158,"4.0183281239548"
158,"4.0183281239548"
158,"4.0183281239548"
158,"4.0183281239548"
158,"4.0183281239548"
195,"4.309046099930541"
195,"4.309046099930541"
195,"4.309046099930541"
250,"4.284977376641311"
250,"4.284977376641311"
250,"4.284977376641311"
78,"3.755600019609336"
93,"4.186034596465652"
169,"4.95201939210664"
250,"4.395864655180622"
28.2,"7.033409441022956"
115.1,"3.7160074473088853"
129.6,"4.88626150283395"
101.4,"4.569588181025617"
235.8,"4.5210282913933515"
126.2,"3.5982846725777753"
191.3,"4.376622293003026"
260.1,"4.0282829461460175"
310,"1.0096826918056427"
310,"1.0096826918056427"
310,"1.0096826918056427"
439,"1.7715161200342038"
439,"1.7715161200342038"
439,"1.7715161200342038"
147.6,"4.306641282564334"
395,"1.1559993114001974"
395,"1.1559993114001974"
395,"1.1559993114001974"
92,"3.009363390138676"
92,"3.009363390138676"
92,"3.009363390138676"
203,"2.9023965640864606"
203,"2.9023965640864606"
203,"2.9023965640864606"
213,"2.684894804699953"
213,"2.684894804699953"
213,"2.684894804699953"
195,"5.395176710303825"
195,"5.395176710303825"
195,"5.395176710303825"
206,"2.8366240408408006"
206,"2.8366240408408006"
206,"2.8366240408408006"
173,"2.2222265247655284"
173,"2.2222265247655284"
173,"2.2222265247655284"
223,"1.0928454851474543"
267,"2.9053437500483668"
267,"2.9053437500483668"
267,"2.9053437500483668"
337,"2.9531479926420383"
337,"2.9531479926420383"
337,"2.9531479926420383"
245,"2.0643045550444086"
245,"2.0643045550444086"
245,"2.0643045550444086"
134,"4.755743057431653"
134,"4.755743057431653"
116,"4.0111451391386845"
116,"4.0111451391386845"
28.58,"4.050316322792688"
103.7,"4.440363968763781"
24.61,"5.799687998815937"
121.1,"5.146826473886623"
169.7,"5.1250055072718785"
198.1,"4.201837238388788"
149.8,"4.216928329747233"
73,"4.045865347808662"
75,"5.146895307351907"
93,"4.186034596465652"
114,"4.08539521829021"
114,"5.475494068044627"
152,"4.199659214971653"
212,"2.7136773064511392"
212,"2.7136773064511392"
127,"4.99905316900289"
126,"6.263015743468501"
232,"3.536097167305912"
232,"3.536097167305912"
165,"5.054540009525431"
328,"3.180715174482618"
328,"3.180715174482618"
262,"3.234332254069108"
320,"3.4899731293288854"
320,"3.4899731293288854"
50.6,"6.371851645208939"
116,"4.0111451391386845"
116,"4.0111451391386845"
134,"4.755743057431653"
134,"4.755743057431653"
138,"2.4216983016909657"
273,"2.805651830580815"
273,"2.805651830580815"
273,"2.805651830580815"
82,"3.527294960757275"
82,"3.527294960757275"
82,"3.527294960757275"
82,"3.527294960757275"
96,"4.0445353755346325"
68,"4.356241516253395"
79,"4.909727792796122"
158,"2.6282292742003825"
158,"2.6282292742003825"
158,"2.6282292742003825"
86,"5.33557316160007"
114,"5.475494068044627"
157,"5.277816565063631"
126.7,"3.5600633737892173"
87,"5.27937906959569"
87,"5.27937906959569"
87,"5.27937906959569"
87,"5.27937906959569"
70,"4.21563641078219"
70,"4.21563641078219"
70,"4.21563641078219"
80,"4.84854704574821"
80,"4.84854704574821"
80,"4.84854704574821"
183,"4.59367635407977"
183,"4.59367635407977"
183,"4.59367635407977"
183,"4.59367635407977"
183,"4.59367635407977"
117,"5.35936125303452"
117,"5.35936125303452"
117,"5.35936125303452"
117,"5.35936125303452"
117,"5.35936125303452"
152,"4.199659214971653"
172,"4.873081208156259"
250,"4.395864655180622"
54.8,"6.550386915674646"
22,"5.063138326718788"
25.92,"6.025761901698537"
226,"2.3864312855854646"
242,"3.3058881507510876"
292,"3.5635163480816754"
181,"5.521635940497602"
181,"5.521635940497602"
136,"4.622304642988203"
83,"3.468328055820896"
83,"3.468328055820896"
83,"3.468328055820896"
83,"3.468328055820896"
90,"4.3269419428521605"
75,"4.950744667071304"
77,"5.813818228446395"
87,"6.667999301808216"
140,"5.777103744055873"
81,"5.598914446376031"
87,"6.667999301808216"
69.6,"6.292298502011051"
35,"6.01894107318675"
87.3,"4.767875082608744"
115,"4.053423000980519"
145,"4.405453871887269"
171,"4.894472275585927"
20.2,"5.171129579153095"
159.1,"6.1810066679482025"
84,"4.226233251794239"
93.6,"4.119096350472407"
136.6,"3.2565897862437874"
179.5,"3.4336400604880652"
224.4,"3.6604177850901025"
237.7,"4.49019271020941"
189.3,"4.01967621728369"
