"Avg_mode_power","Screen_Size_Extracted"
30.28,"240"
30.28,"240"
30.28,"240"
171.7,"70"
189.9,"700"
221.6,"75"
47.02,"400"
32.18,"32"
30.28,"24"
106.2,"58"
101.98,"507"
60.73,"50"
82.7,"50"
24.687,"32"
144.2,"70"
159,"85"
266,"85"
266,"85"
266,"85"
266,"85"
45.5,"43"
72.4,"55"
19.6,"242"
19.6,"242"
19.6,"242"
96.3,
96.3,"65"
96.3,"65"
126.2,"55"
147.6,"65"
39.9,"40"
75,"50"
75,"50"
75,"50"
75,"50"
158,"65"
158,"65"
158,"65"
158,"65"
182,"75"
182,"75"
182,"75"
182,"75"
92,"55"
92,"55"
92,"55"
92,"55"
110,"65"
110,"65"
110,"65"
110,"65"
110,"65"
29.05,"24"
25.84,"24"
25.84,"24"
27.1,"322"
95.274,"65"
103.7,"55"
121.1,"65"
56.7,"50"
68.5,"55"
22.2,"24"
108.1,"752"
104,"50"
104,"50"
104,"50"
104,"50"
15.1,"24"
23.5,"32"
31.78,"32"
44.6,"43"
68.98,"55"
33,"32"
15.1,"24"
23.5,"32"
23.5,"32"
44.2,"42"
33.3,"32"
33.3,"32"
33.3,"32"
56.7,"502"
44.2,"42"
44.2,"42"
44.2,"42"
44.2,"42"
33.3,"24"
169.7,"77"
55,"43"
55,"43"
55,"43"
55,"43"
55,"43"
23.8,"322"
29.15,"32"
53,"42"
84.4,"50"
123.94,"70"
54.04,"430"
69.64,"55"
127.7,"75"
114,"65"
96.5,"55"
74.4,"48"
86.04,"500"
71.99,"50"
86.54,"55"
41.8,"55"
137,"60"
56.7,"50"
108.1,"75"
44.99,"40"
31.1544,"32"
228,"85"
121,"55"
144.3,"65"
63,"42"
63,"42"
75,"48"
75,"48"
77,"48"
77,"48"
84,"55"
84,"55"
99,"55"
99,"55"
95,"55"
95,"55"
115,"55"
115,"55"
103,"65"
103,"65"
121,"65"
121,"65"
112,"65"
112,"65"
145,"65"
145,"65"
158,"77"
158,"77"
153,"77"
153,"77"
196,"77"
196,"77"
238,"77"
179,"83"
179,"83"
181,"83"
181,"83"
187.9,"75"
238.7,"85"
107,"65"
107,"65"
107,"65"
107,"65"
75.58,"55"
148.05,"65"
76,"50"
76,"50"
76,"50"
80,"50"
80,"50"
94,"55"
94,"55"
118,"65"
118,"65"
134,"75"
134,"75"
198,"86"
198,"86"
70,"43"
70,"43"
70,"43"
87,"55"
87,"55"
87,"55"
87,"55"
94,"50"
94,"50"
94,"50"
113,"55"
113,"55"
113,"55"
107,"55"
144.6,"65"
73.254,"55"
173,"85"
173,"85"
173,"85"
155,"65"
155,"65"
155,"65"
186,"75"
186,"75"
186,"75"
49.7,"65"
73,"43"
73,"43"
78,"50"
78,"50"
97,"55"
97,"55"
127,"65"
127,"65"
165,"75"
250,"86"
36.7,"43"
43.1,"50"
16.17,"24"
70,"43"
70,"43"
70,"43"
159.3,"75"
110.448,"65"
137,"65"
137,"65"
137,"65"
153,"75"
153,"75"
153,"75"
70,"43"
70,"43"
70,"43"
70,"43"
89,"50"
89,"50"
89,"50"
89,"50"
98,"55"
98,"55"
98,"55"
98,"55"
123,"65"
123,"65"
123,"65"
123,"65"
70.2,"42"
158,"75"
158,"75"
158,"75"
245,"85"
245,"85"
245,"85"
112,"55"
112,"55"
112,"55"
43,"32"
112,"55"
112,"55"
112,"55"
206,"85"
206,"85"
206,"85"
263,"65"
263,"65"
263,"65"
292,"75"
292,"75"
292,"75"
165,"75"
165,"75"
165,"75"
216,"85"
216,"85"
216,"85"
153,"65"
153,"65"
153,"65"
203,"75"
203,"75"
203,"75"
259,"85"
259,"85"
259,"85"
114,"55"
114,"55"
114,"55"
145,"65"
145,"65"
145,"65"
340,"75"
340,"75"
340,"75"
190,"65"
373,"85"
373,"85"
373,"85"
73,"43"
78,"50"
97,"55"
127,"65"
155,"65"
155,"65"
155,"65"
93,"50"
214,"75"
303,"85"
303,"85"
303,"85"
280,"65"
280,"65"
280,"65"
94.65,"652"
28,"32"
28,"32"
28,"32"
194,"75"
194,"75"
194,"75"
247,"85"
247,"85"
247,"85"
183,"75"
183,"75"
183,"75"
183,"75"
168,"55"
165,"75"
68.5,"552"
214.5,"75"
207,"83"
40,"40"
27.1,"32"
337,"98"
143.934,"650"
91.788,"550"
86.21,"500"
28,"32"
125,"65"
125,"65"
150,"75"
150,"75"
206,"86"
206,"86"
129.1,"55"
143.6,"65"
181.1,"75"
73,"43"
78,"50"
97,"55"
127,"65"
165,"75"
165,"75"
250,"86"
250,"86"
280.7,"85"
214.8,"65"
242.5,"75"
113,"55"
113,"55"
77.5,"43"
93.8,"50"
113,"55"
154,"65"
154,"65"
154,"65"
53.5,"43"
24.1,"32"
201.6,"85"
63,"42"
101.3,"65"
68.5,"55"
47.2,"32"
47.2,"32"
47.2,"32"
60,"42"
78,"48"
99,"55"
124,"65"
98,"55"
124,"65"
198,"85"
198,"85"
198,"85"
113,"55"
113,"55"
113,"55"
155,"65"
155,"65"
155,"65"
220,"77"
220,"77"
220,"77"
174.7,"75"
145,"85"
39.9,"402"
113.8,"55"
278.5,"85"
152.2,"85"
248.6,"75"
68.4,"50"
54,"43"
128.1,"65"
123.8,"55"
182.7,"65"
208.3,"75"
256.4,"98"
48.68,"40"
74.74,"55"
78.5,"50"
55.635,"43"
34.67,"32"
440.5,"98"
101.1,"75"
45.5,"43"
110.15,"70"
23.298,"32"
35.598,"43"
35.1,"40"
349,"88"
349,"88"
183,"77"
96.1,"55"
101.3,"65"
101.3,"65"
101.3,"65"
101.3,"65"
27.25,"22"
40.45,"32"
81.3,"50"
90.5,"55"
119.3,"65"
24.687,"323"
103.6,"55"
122.1,"65"
15.8694,"19"
178,"77"
178,"77"
178,"77"
99.1,"50"
99.1,"50"
102.3,"55"
102.3,"55"
129.8,"65"
129.8,"65"
153.1,"75"
153.1,"75"
144.1,"75"
144.1,"75"
136.6,"55"
136.6,"55"
47.1,"43"
52.3,"50"
55.5,"55"
74.4,"65"
113.6,"75"
142.4,"65"
142.4,"65"
17.0946,"243"
58,"43"
48.19,"32"
147.7,"77"
73,"43"
73,"43"
78,"50"
78,"50"
97,"55"
97,"55"
127,"65"
127,"65"
165,"75"
165,"75"
250,"86"
250,"86"
51.12,"43"
67.75,"50"
63.89,"55"
